% Supplemental Table S1: P-V-T data on Fe–9Si from synchrotron X-ray diffraction experiments.
% Phase(s)	T sample (K)	± (K)	Pressure (GPa)	± (GPa)	a KBr (Å)	± (Å)	a D03 alloy (Å)	± (Å)	a hcp alloy (Å)	± (Å)	c/a hcp alloy	±	a B2 alloy (Å)	± (Å)	a fcc alloy (Å)	± (Å)
hcp+B2	3507	209	200.5	3.1	2.882	0.004	-	-	2.224	0.002	1.616	0.001	2.479	0.000	-	-
hcp+B2	3208	139	200.8	3.0	2.881	0.004	-	-	2.222	0.002	1.618	0.001	2.478	0.001	-	-
hcp+B2	3103	146	200.5	2.8	2.881	0.003	-	-	2.223	0.002	1.614	0.002	2.477	0.001	-	-
hcp+B2	2984	135	200.0	3.0	2.881	0.004	-	-	2.223	0.002	1.613	0.001	2.477	0.001	-	-
fcc+B2	1878	111	38.3	0.8	3.347	0.002	-	-	-	-	-	-	2.692	*	3.448	0.002
fcc+B2	2073	133	38.7	0.9	3.345	0.002	-	-	-	-	-	-	2.708	*	3.448	0.001
fcc+B2	1489	114	30.0	0.6	3.408	0.002	-	-	-	-	-	-	2.756	0.003	3.479	0.001
fcc+B2	1787	168	22.7	0.7	3.486	0.002	-	-	-	-	-	-	2.791	0.002	3.513	*
fcc+B2	1571	124	22.4	0.6	3.487	0.002	-	-	-	-	-	-	2.793	0.005	3.514	0.001
fcc+B2	1658	117	22.6	0.7	3.486	0.002	-	-	-	-	-	-	2.796	0.003	3.514	0.001
fcc+B2	1459	113	22.6	0.6	3.483	0.002	-	-	-	-	-	-	2.776	0.002	3.506	0.001
fcc+B2	1734	109	19.4	0.7	3.527	0.002	-	-	-	-	-	-	2.818	0.001	3.558	0.002
fcc+B2	1582	108	19.3	0.6	3.525	0.001	-	-	-	-	-	-	2.790	0.005	3.558	0.002
fcc+B2	1485	107	19.3	0.6	3.524	0.001	-	-	-	-	-	-	2.789	0.003	3.593	0.005
fcc+B2	1351	109	19.2	0.5	3.522	0.001	-	-	-	-	-	-	2.787	0.000	3.586	0.005
